Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Atlético Madrid,38,26,8,4,67,25,42,86
2,Real Madrid,38,25,9,4,67,28,39,84
3,FC Barcelona,38,24,7,7,85,38,47,79
4,Sevilla FC,38,24,5,9,53,33,20,77
5,Real Sociedad,38,17,11,10,59,38,21,62
6,Real Betis,38,17,10,11,50,50,0,61
7,Villarreal CF,38,15,13,10,60,44,16,58
8,RC Celta,38,14,11,13,55,57,-2,53
9,Granada CF,38,13,7,18,47,65,-18,46
10,Athletic Club,38,11,13,14,46,42,4,46
11,CA Osasuna,38,11,11,16,37,48,-11,44
12,Cádiz CF,38,11,11,16,36,58,-22,44
13,Valencia CF,38,10,13,15,50,53,-3,43
14,Levante UD,38,9,14,15,46,57,-11,41
15,Getafe CF,38,9,11,18,28,43,-15,38
16,Deportivo Alavés,38,9,11,18,36,57,-21,38
17,Elche CF,38,8,12,13,34,55,-21,36
18,SD Huesca,38,7,13,18,34,53,-19,34
19,Real Valladolid,38,5,16,17,33,57,-23,31
20,SD Eibar,38,6,12,20,29,52,-23,30
